cycle,length,position,class_name
1,2,0,RandomizedScatterFactory
1,2,1,GasScatteringCrossSection
2,3,0,RandomizedScatterFactory
2,3,1,GasScatteringCrossSection
2,3,2,ScreenedRutherfordScatteringAngle
3,3,0,RandomizedScatterFactory
3,3,1,NISTMottScatteringAngle
3,3,2,ScreenedRutherfordScatteringAngle
4,2,0,RandomizedScatterFactory
4,2,1,ScreenedRutherfordScatteringAngle
5,2,0,RandomizedScatterFactory
5,2,1,CzyzewskiMottScatteringAngle
6,3,0,RandomizedScatterFactory
6,3,1,CzyzewskiMottScatteringAngle
6,3,2,ScreenedRutherfordScatteringAngle
7,7,0,FilteredSpectrum
7,7,1,DerivedSpectrum
7,7,2,BaseSpectrum
7,7,3,ISpectrumData
7,7,4,SpectrumProperties
7,7,5,QuantifyUsingSTEMinSEM
7,7,6,FilterFit
8,6,0,FilteredSpectrum
8,6,1,DerivedSpectrum
8,6,2,BaseSpectrum
8,6,3,SpectrumProperties
8,6,4,QuantifyUsingSTEMinSEM
8,6,5,FilterFit
9,9,0,FilteredSpectrum
9,9,1,DerivedSpectrum
9,9,2,BaseSpectrum
9,9,3,SpectrumUtils
9,9,4,EDSDetector
9,9,5,EditableSpectrum
9,9,6,SpectrumProperties
9,9,7,QuantifyUsingSTEMinSEM
9,9,8,FilterFit
10,10,0,FilteredSpectrum
10,10,1,DerivedSpectrum
10,10,2,BaseSpectrum
10,10,3,SpectrumUtils
10,10,4,EDSDetector
10,10,5,EditableSpectrum
10,10,6,ISpectrumData
10,10,7,SpectrumProperties
10,10,8,QuantifyUsingSTEMinSEM
10,10,9,FilterFit
11,13,0,FilteredSpectrum
11,13,1,DerivedSpectrum
11,13,2,BaseSpectrum
11,13,3,SpectrumUtils
11,13,4,EDSDetector
11,13,5,Element
11,13,6,MeanIonizationPotential
11,13,7,AlgorithmClass
11,13,8,AlgorithmUser
11,13,9,CorrectionAlgorithm
11,13,10,SpectrumProperties
11,13,11,QuantifyUsingSTEMinSEM
11,13,12,FilterFit
12,14,0,FilteredSpectrum
12,14,1,DerivedSpectrum
12,14,2,BaseSpectrum
12,14,3,SpectrumUtils
12,14,4,EDSDetector
12,14,5,Element
12,14,6,MeanIonizationPotential
12,14,7,AlgorithmClass
12,14,8,AlgorithmUser
12,14,9,CorrectionAlgorithm
12,14,10,Fluorescence
12,14,11,SpectrumProperties
12,14,12,QuantifyUsingSTEMinSEM
12,14,13,FilterFit
13,14,0,FilteredSpectrum
13,14,1,DerivedSpectrum
13,14,2,BaseSpectrum
13,14,3,SpectrumUtils
13,14,4,EDSDetector
