class_name,file,package,kind,modifiers,extends,implements,in_degree,out_degree,internal_degree,instability,depth,reachable,pagerank,betweenness,in_cycle,is_leaf,is_dead,total_imports,n_internal,n_java_stdlib,n_javax_stdlib,n_external,n_nist_other,n_nist_epqdatabase,n_nist_epqimage,n_nist_epqlibrary,n_nist_epqtests,n_nist_epqtools,n_nist_jythongui,n_nist_nistmonte,n_nist_utility
AbsoluteIonizationCrossSection,AbsoluteIonizationCrossSection.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,IonizationCrossSection,,2,10,12,0.8333,3,94,0.002374,0.000504,False,False,False,4,0,2,0,0,0,0,0,0,0,0,0,0,2
AbsorptionCorrection,AbsorptionCorrection.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,1,9,10,0.9,2,93,0.002206,0.001575,True,False,False,3,0,2,0,0,0,0,0,0,0,0,0,0,1
AlgorithmClass,AlgorithmClass.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmUser,Comparable,40,2,42,0.0476,2,93,0.027597,0.046346,True,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0
AlgorithmUser,AlgorithmUser.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,,,16,10,26,0.3846,2,93,0.038496,0.295245,True,False,False,3,0,3,0,0,0,0,0,0,0,0,0,0,0
Armstrong1982Base,Armstrong1982Base.java,gov.nist.microanalysis.EPQLibrary,class,public,ZAFCorrectionAlgorithm,,3,16,19,0.8421,2,93,0.002765,0.005611,True,False,False,3,2,0,0,0,0,0,0,0,0,0,0,0,1
Armstrong1982Correction,Armstrong1982Correction.java,gov.nist.microanalysis.EPQLibrary,class,public final,Armstrong1982Base,,2,4,6,0.6667,2,93,0.002362,0.003221,True,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Armstrong1982ParticleCorrection,Armstrong1982ParticleCorrection.java,gov.nist.microanalysis.EPQLibrary,class,public,Armstrong1982Base,,1,12,13,0.9231,2,93,0.002206,0.006275,True,False,False,4,0,1,0,0,0,0,0,0,0,0,0,0,3
Armstrong1982ParticleMC,Armstrong1982ParticleMC.java,gov.nist.microanalysis.EPQLibrary,class,public,Armstrong1982Base,,0,13,13,1.0,3,95,0.001977,0.0,False,False,False,3,0,0,0,0,0,0,0,0,0,0,0,1,2
AtomicShell,AtomicShell.java,gov.nist.microanalysis.EPQLibrary,class,final public,,"Comparable, Cloneable",43,3,46,0.0652,2,93,0.021635,0.027896,True,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1
AverageSpectrum,AverageSpectrum.java,gov.nist.microanalysis.EPQLibrary,class,public,BaseSpectrum,,0,5,5,1.0,3,94,0.001977,0.0,False,False,False,3,0,2,0,0,0,0,0,0,0,0,0,0,1
BackscatterCoefficient,BackscatterCoefficient.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,4,6,10,0.6,2,93,0.002977,0.000248,True,False,False,2,0,2,0,0,0,0,0,0,0,0,0,0,0
BackscatterFactor,BackscatterFactor.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,5,9,14,0.6429,2,93,0.002804,0.002275,True,False,False,4,0,3,0,0,0,0,0,0,0,0,0,0,1
BadgerFilmExport,BadgerFilmExport.java,gov.nist.microanalysis.EPQLibrary,class,public,,,0,5,5,1.0,3,94,0.001977,0.0,False,False,False,12,0,12,0,0,0,0,0,0,0,0,0,0,0
BaseSpectrum,BaseSpectrum.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,,ISpectrumData,5,3,8,0.375,2,93,0.005975,0.000809,True,False,False,4,0,3,0,0,0,0,0,0,0,1,0,0,0
BetheElectronEnergyLoss,BetheElectronEnergyLoss.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,2,6,8,0.75,2,93,0.012768,0.003741,True,False,False,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Bremsstrahlung,Bremsstrahlung.java,gov.nist.microanalysis.EPQLibrary,class,public,,,1,4,5,0.8,2,93,0.002721,4.2e-05,True,False,False,4,0,3,0,0,0,0,0,0,0,0,0,0,1
BremsstrahlungAnalytic,BremsstrahlungAnalytic.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,4,16,20,0.8,2,93,0.002467,0.001215,True,False,False,13,3,6,0,0,0,0,0,0,0,0,0,0,4
BremsstrahlungAngularDistribution,BremsstrahlungAngularDistribution.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,,1,6,7,0.8571,2,93,0.005249,0.006733,True,False,False,5,0,2,0,1,0,0,0,0,0,0,0,0,2
BrowningEmpiricalCrossSection,BrowningEmpiricalCrossSection.java,gov.nist.microanalysis.EPQLibrary,class,public,,,0,2,2,1.0,3,94,0.001977,0.0,False,False,False,1,0,0,0,0,0,0,0,0,0,0,0,0,1
CaveatBase,CaveatBase.java,gov.nist.microanalysis.EPQLibrary,class,public,,,10,0,10,0.0,0,0,0.006822,0.0,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CharacteristicXRayGeneration,CharacteristicXRayGeneration.java,gov.nist.microanalysis.EPQLibrary,class,public abstract,AlgorithmClass,,0,6,6,1.0,4,95,0.001977,0.0,False,False,False,2,0,2,0,0,0,0,0,0,0,0,0,0,0
CITZAF,CITZAF.java,gov.nist.microanalysis.EPQLibrary,class,public,,,0,7,7,1.0,3,94,0.001977,0.0,False,False,False,20,0,19,0,0,0,0,0,0,0,0,0,0,1
Composition,Composition.java,gov.nist.microanalysis.EPQLibrary,class,public,,"Comparable, Cloneable, Serializable",54,5,59,0.0847,2,93,0.028179,0.048161,True,False,False,24,0,21,0,0,0,0,0,0,0,0,0,0,3
CompositionFromKRatios,CompositionFromKRatios.java,gov.nist.microanalysis.EPQLibrary,class,public,AlgorithmClass,,5,18,23,0.7826,4,95,0.002651,0.003416,False,False,False,20,0,18,0,0,0,0,0,0,0,0,0,0,2
CompositionOptimizer,CompositionOptimizer.java,gov.nist.microanalysis.EPQLibrary,class,public,EPMAOptimizer,,0,13,13,1.0,6,98,0.001977,0.0,False,False,False,12,3,7,0,0,0,0,0,0,0,0,0,0,2
ComputeZAF,ComputeZAF.java,gov.nist.microanalysis.EPQLibrary,class,public,AlgorithmClass,,0,13,13,1.0,3,94,0.001977,0.0,False,False,False,4,0,3,0,0,0,0,0,0,0,0,0,0,1
ConductiveCoating,ConductiveCoating.java,gov.nist.microanalysis.EPQLibrary,class,public,,,5,8,13,0.6154,2,93,0.005387,0.00465,True,False,False,2,0,1,0,0,0,0,0,0,0,0,0,0,1
CorrectionAlgorithm,CorrectionAlgorithm.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,AlgorithmClass,Comparable,13,25,38,0.6579,2,93,0.006726,0.261235,True,False,False,7,1,4,0,0,0,0,0,0,0,0,0,0,2
CzyzewskiMottCrossSection,CzyzewskiMottCrossSection.java,gov.nist.microanalysis.EPQLibrary,class,public,,,1,4,5,0.8,3,94,0.002261,5e-05,False,False,False,6,0,6,0,0,0,0,0,0,0,0,0,0,0
CzyzewskiMottScatteringAngle,CzyzewskiMottScatteringAngle.java,gov.nist.microanalysis.EPQLibrary,class,public,RandomizedScatter,,1,7,8,0.875,4,100,0.002334,0.000225,True,False,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0
DerivedSpectrum,DerivedSpectrum.java,gov.nist.microanalysis.EPQLibrary,class,abstract public,BaseSpectrum,,11,4,15,0.2667,2,93,0.005253,0.000433,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BasicSiLiLineshape,BasicSiLiLineshape.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,DetectorLineshapeModel,,2,2,4,0.5,2,93,0.00252,0.000303,True,False,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DetectorCalibration,DetectorCalibration.java,gov.nist.microanalysis.EPQLibrary.Detector,class,abstract public,,Comparable,2,3,5,0.6,2,93,0.003875,0.000842,True,False,False,5,2,3,0,0,0,0,0,0,0,0,0,0,0
DetectorLineshapeModel,DetectorLineshapeModel.java,gov.nist.microanalysis.EPQLibrary.Detector,class,abstract public,,Cloneable,12,1,13,0.0769,2,93,0.006295,2.5e-05,True,False,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0
DetectorProperties,DetectorProperties.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,,Cloneable,6,5,11,0.4545,2,93,0.00521,0.029348,True,False,False,4,2,1,0,0,0,0,0,0,0,0,0,0,1
EDSCalibration,EDSCalibration.java,gov.nist.microanalysis.EPQLibrary.Detector,class,abstract public,DetectorCalibration,,6,8,14,0.5714,2,93,0.003655,0.012374,True,False,False,2,2,0,0,0,0,0,0,0,0,0,0,0,0
EDSDetector,EDSDetector.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,,IXRayDetector,17,18,35,0.5143,2,93,0.005284,0.078086,True,False,False,25,9,10,0,2,0,0,0,0,0,1,0,2,1
ElectronProbe,ElectronProbe.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,,Comparable,2,2,4,0.5,2,93,0.003113,4.2e-05,True,False,False,3,2,0,0,0,0,0,0,0,0,0,0,0,1
FanoSiLiLineshape,FanoSiLiLineshape.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,DetectorLineshapeModel,,2,2,4,0.5,2,93,0.00252,0.000303,True,False,False,1,1,0,0,0,0,0,0,0,0,0,0,0,0
GridMountedWindow,GridMountedWindow.java,gov.nist.microanalysis.EPQLibrary.Detector,class,public,XRayWindow,,2,4,6,0.6667,2,93,0.002369,0.001196,True,False,False,3,3,0,0,0,0,0,0,0,0,0,0,0,0
