port_order,class_name,depth,in_degree,out_degree,instability,in_cycle
1,EPQException,0,64,0,0.0,False
2,PhysicalConstants,0,9,0,0.0,False
3,StageCoordinate,1,2,1,0.3333,False
4,FittingFilter,0,2,0,0.0,False
5,EPQFatalException,0,20,0,0.0,False
6,SampleShape,0,10,0,0.0,False
7,ToSI,1,51,1,0.0192,False
8,CaveatBase,0,10,0,0.0,False
9,FromSI,1,51,1,0.0192,False
10,Element,2,86,7,0.0753,True
11,SpectrumProperties,2,58,13,0.1831,True
12,Composition,2,54,5,0.0847,True
13,XRayTransition,2,52,6,0.1034,True
14,AtomicShell,2,43,3,0.0652,True
15,SpectrumUtils,2,42,18,0.3,True
16,AlgorithmClass,2,40,2,0.0476,True
17,ISpectrumData,2,37,1,0.0263,True
18,LitReference,2,35,1,0.0278,True
19,XRayTransitionSet,2,30,5,0.1429,True
20,Material,2,28,4,0.125,True
21,MassAbsorptionCoefficient,2,23,13,0.3611,True
22,RegionOfInterestSet,2,19,10,0.3448,True
23,EDSDetector,2,17,18,0.5143,True
24,AlgorithmUser,2,16,10,0.3846,True
25,KRatioSet,2,15,5,0.25,True
26,CorrectionAlgorithm,2,13,25,0.6579,True
27,DetectorLineshapeModel,2,12,1,0.0769,True
28,DerivedSpectrum,2,11,4,0.2667,True
29,IXRayWindowProperties,2,10,1,0.0909,True
30,EditableSpectrum,2,8,3,0.2727,True
31,MaterialFactory,2,7,5,0.4167,True
32,MeanIonizationPotential,2,7,7,0.5,True
33,XPP1991,2,7,16,0.6957,True
34,DetectorProperties,2,6,5,0.4545,True
35,EDSCalibration,2,6,8,0.5714,True
36,BackscatterFactor,2,5,9,0.6429,True
37,BaseSpectrum,2,5,3,0.375,True
38,ConductiveCoating,2,5,8,0.6154,True
39,EdgeEnergy,2,5,6,0.5455,True
40,FilterFit,2,5,22,0.8148,True
41,SpectrumMath,2,5,5,0.5,True
42,StoppingPower,2,5,9,0.6429,True
43,BackscatterCoefficient,2,4,6,0.6,True
44,BremsstrahlungAnalytic,2,4,16,0.8,True
45,LinearSpectrumFit,2,4,13,0.7647,True
46,ProportionalIonizationCrossSection,2,4,7,0.6364,True
47,SurfaceIonization,2,4,5,0.5556,True
48,XRayWindow,2,4,10,0.7143,True
49,Armstrong1982Base,2,3,16,0.8421,True
50,ElectronRange,2,3,9,0.75,True
51,IXRayDetector,2,3,3,0.5,True
52,IonizationCrossSection,2,3,5,0.625,True
53,Oxidizer,2,3,3,0.5,True
54,PAP1991,2,3,18,0.8571,True
55,ParticleSignature,2,3,3,0.5,True
56,SpectrumSmoothing,2,3,6,0.6667,True
57,TransitionEnergy,2,3,7,0.7,True
58,TransitionProbabilities,2,3,5,0.625,True
59,Armstrong1982Correction,2,2,4,0.6667,True
60,BasicSiLiLineshape,2,2,2,0.5,True
61,BetheElectronEnergyLoss,2,2,6,0.75,True
62,DetectorCalibration,2,2,3,0.6,True
63,DuaneHuntLimit,2,2,8,0.8,True
64,ElectronProbe,2,2,2,0.5,True
65,FanoSiLiLineshape,2,2,2,0.5,True
66,FilteredSpectrum,2,2,11,0.8462,True
67,FluorescenceYieldMean,2,2,5,0.7143,True
68,GridMountedWindow,2,2,4,0.6667,True
69,ISpectrumTransformation,2,2,1,0.3333,True
70,MicrocalCalibration,2,2,17,0.8947,True
71,PeakROISearch,2,2,12,0.8571,True
72,Riveros1993,2,2,6,0.75,True
73,SDDCalibration,2,2,4,0.6667,True
74,SiLiCalibration,2,2,15,0.8824,True
75,Strategy,2,2,1,0.3333,True
76,VariableWidthFittingFilter,2,2,2,0.5,True
77,AbsorptionCorrection,2,1,9,0.9,True
78,Armstrong1982ParticleCorrection,2,1,12,0.9231,True
79,Bremsstrahlung,2,1,4,0.8,True
80,BremsstrahlungAngularDistribution,2,1,6,0.8571,True
81,Fluorescence,2,1,19,0.95,True
82,FluorescenceYield,2,1,6,0.8571,True
83,IonizationDepthRatio,2,1,3,0.75,True
84,JumpRatio,2,1,5,0.8333,True
85,LenardCoefficient,2,1,4,0.8,True
86,PeakStripping,2,1,8,0.8889,True
87,QuantifyUsingSTEMinSEM,2,1,16,0.9412,True
88,ROISpectrum,2,1,10,0.9091,True
89,ROISpectrumNaive,2,1,8,0.8889,True
90,STEMinSEMCorrection,2,1,11,0.9167,True
91,XPP1989Ext,2,1,11,0.9167,True
92,XRayWindow2,2,1,9,0.9,True
93,XRayWindow3,2,1,4,0.8,True
94,XRayWindowFactory,2,1,13,0.9286,True
95,AbsoluteIonizationCrossSection,3,2,10,0.8333,False
96,IterationAlgorithm,3,1,6,0.8571,False
97,SpectrumSimulator,4,4,18,0.8182,False
98,CompositionFromKRatios,4,5,18,0.7826,False
99,QuantificationOutline,5,5,18,0.7826,False
100,StandardBundle,6,1,12,0.9231,False
101,QuantifyUsingStandards,7,2,24,0.9231,False
102,SamplePreparation,3,1,6,0.8571,False
103,QuantificationPlan,8,2,15,0.8824,False
104,SpectrumFitResult,3,2,19,0.9048,False
105,StandardsDatabase2,3,2,4,0.6667,False
106,ZetaFactor,3,1,8,0.8889,False
107,QuantificationOptimizer,9,1,4,0.8,False
108,Gas,3,1,4,0.8,False
109,SpectrumFitter8,4,1,18,0.9474,False
110,CzyzewskiMottCrossSection,3,1,4,0.8,False
111,RandomizedScatter,3,5,3,0.375,False
112,EPMAOptimizer,5,1,15,0.9375,False
113,ITransform,0,1,0,0.0,False
114,VectorSet,3,0,8,1.0,False
115,QuantifyUsingZetaFactors,4,0,17,1.0,False
116,QuantificationOptimizer2,10,0,16,1.0,False
117,PandPDatabase,3,0,6,1.0,False
118,NoisySpectrum,3,0,4,1.0,False
119,NISTXRayTransitionDB,3,0,2,1.0,False
120,MultiSpectrumMetrics,3,0,4,1.0,False
121,MuCal,3,0,7,1.0,False
122,MLLSQSignature,3,0,18,1.0,False
123,MicrocalSpectrumFitter,3,0,15,1.0,False
124,MapImage,5,0,8,1.0,False
125,MajorMinorTrace,3,0,2,1.0,False
126,MACCache,3,0,2,1.0,False
127,GaussianSumSpectrum,3,0,5,1.0,False
128,GasMixture,4,0,3,1.0,False
129,ExtremumSpectrum,3,0,6,1.0,False
130,MeasuredCalibration,5,0,16,1.0,False
131,ScreenedRutherfordScatteringAngle,4,4,4,0.5,True
132,RandomizedScatterFactory,4,3,8,0.7273,True
133,CzyzewskiMottScatteringAngle,4,1,7,0.875,True
134,GasScatteringCrossSection,4,1,6,0.8571,True
135,NISTMottScatteringAngle,4,1,3,0.75,True
136,ComputeZAF,3,0,13,1.0,False
137,CompositionOptimizer,6,0,13,1.0,False
138,CITZAF,3,0,7,1.0,False
139,CharacteristicXRayGeneration,4,0,6,1.0,False
140,BrowningEmpiricalCrossSection,3,0,2,1.0,False
141,BadgerFilmExport,3,0,5,1.0,False
142,AverageSpectrum,3,0,5,1.0,False
143,Armstrong1982ParticleMC,3,0,13,1.0,False
