component,size,class_name
1,3,IXRayDetector
1,3,IXRayWindowProperties
1,3,SpectrumProperties
2,2,EDSDetector
2,2,SpectrumUtils
3,1,AlgorithmUser
4,1,AlgorithmClass
5,1,IonizationCrossSection
6,1,AbsoluteIonizationCrossSection
7,1,AbsorptionCorrection
8,1,Armstrong1982Base
9,1,Armstrong1982Correction
10,1,Armstrong1982ParticleCorrection
11,1,Armstrong1982ParticleMC
12,1,AtomicShell
13,1,ISpectrumData
14,1,BaseSpectrum
15,1,AverageSpectrum
16,1,BackscatterCoefficient
17,1,BackscatterFactor
18,1,BadgerFilmExport
19,1,BetheElectronEnergyLoss
20,1,Bremsstrahlung
21,1,EPQException
22,1,EditableSpectrum
23,1,Element
24,1,FromSI
25,1,XRayTransition
26,1,XRayTransitionSet
27,1,DetectorLineshapeModel
28,1,BremsstrahlungAnalytic
29,1,BremsstrahlungAngularDistribution
30,1,BrowningEmpiricalCrossSection
31,1,CaveatBase
32,1,CharacteristicXRayGeneration
33,1,CITZAF
34,1,Composition
35,1,CompositionFromKRatios
36,1,EPMAOptimizer
37,1,CompositionOptimizer
38,1,ComputeZAF
39,1,ConductiveCoating
40,1,CorrectionAlgorithm
41,1,CzyzewskiMottCrossSection
42,1,RandomizedScatter
43,1,CzyzewskiMottScatteringAngle
44,1,DerivedSpectrum
45,1,BasicSiLiLineshape
46,1,DetectorCalibration
47,1,DetectorProperties
48,1,EDSCalibration
49,1,ToSI
50,1,ElectronProbe
51,1,FanoSiLiLineshape
52,1,Material
53,1,EPQFatalException
54,1,MaterialFactory
55,1,XRayWindow
56,1,GridMountedWindow
57,1,MassAbsorptionCoefficient
58,1,SiLiCalibration
59,1,SDDCalibration
60,1,SpectrumFitResult
61,1,SpectrumFitter8
62,1,MeasuredCalibration
63,1,MicrocalCalibration
64,1,XRayWindow2
65,1,XRayWindow3
66,1,XRayWindowFactory
67,1,DuaneHuntLimit
68,1,EdgeEnergy
69,1,ElectronRange
70,1,ExtremumSpectrum
71,1,FilteredSpectrum
72,1,LinearSpectrumFit
73,1,FilterFit
74,1,FittingFilter
75,1,Fluorescence
76,1,FluorescenceYield
77,1,FluorescenceYieldMean
78,1,Gas
79,1,GasMixture
80,1,GasScatteringCrossSection
81,1,GaussianSumSpectrum
82,1,IonizationDepthRatio
83,1,ISpectrumTransformation
84,1,IterationAlgorithm
85,1,ITransform
86,1,JumpRatio
87,1,KRatioSet
88,1,LenardCoefficient
89,1,LitReference
90,1,MACCache
91,1,MajorMinorTrace
92,1,MapImage
93,1,MeanIonizationPotential
94,1,MicrocalSpectrumFitter
95,1,MLLSQSignature
96,1,MuCal
97,1,MultiSpectrumMetrics
98,1,NISTMottScatteringAngle
99,1,NISTXRayTransitionDB
100,1,NoisySpectrum
101,1,Oxidizer
102,1,PandPDatabase
103,1,PAP1991
104,1,ParticleSignature
105,1,PeakROISearch
106,1,PeakStripping
107,1,PhysicalConstants
108,1,ProportionalIonizationCrossSection
109,1,QuantificationOptimizer
110,1,QuantificationOptimizer2
111,1,QuantificationOutline
112,1,QuantificationPlan
113,1,QuantifyUsingStandards
114,1,QuantifyUsingSTEMinSEM
115,1,QuantifyUsingZetaFactors
116,1,RandomizedScatterFactory
117,1,RegionOfInterestSet
118,1,Riveros1993
119,1,ROISpectrum
120,1,ROISpectrumNaive
121,1,SamplePreparation
122,1,SampleShape
123,1,ScreenedRutherfordScatteringAngle
124,1,SpectrumMath
125,1,SpectrumSimulator
126,1,SpectrumSmoothing
127,1,StageCoordinate
128,1,StandardBundle
129,1,StandardsDatabase2
130,1,STEMinSEMCorrection
131,1,StoppingPower
132,1,Strategy
133,1,SurfaceIonization
134,1,TransitionEnergy
135,1,TransitionProbabilities
136,1,VariableWidthFittingFilter
137,1,VectorSet
138,1,XPP1991
139,1,XPP1989Ext
140,1,ZetaFactor
