component,size,class_name
1,104,AbsoluteIonizationCrossSection
1,104,AbsorptionCorrection
1,104,AlgorithmClass
1,104,AlgorithmUser
1,104,AtomicShell
1,104,AverageSpectrum
1,104,BackscatterCoefficient
1,104,BackscatterFactor
1,104,BaseSpectrum
1,104,BasicSiLiLineshape
1,104,BetheElectronEnergyLoss
1,104,BremsstrahlungAnalytic
1,104,BremsstrahlungAngularDistribution
1,104,CharacteristicXRayGeneration
1,104,Composition
1,104,CompositionFromKRatios
1,104,CompositionOptimizer
1,104,ComputeZAF
1,104,CorrectionAlgorithm
1,104,CzyzewskiMottScatteringAngle
1,104,DerivedSpectrum
1,104,DetectorCalibration
1,104,DetectorLineshapeModel
1,104,DetectorProperties
1,104,DuaneHuntLimit
1,104,EDSCalibration
1,104,EDSDetector
1,104,EPMAOptimizer
1,104,EPQException
1,104,EPQFatalException
1,104,EdgeEnergy
1,104,EditableSpectrum
1,104,ElectronProbe
1,104,ElectronRange
1,104,Element
1,104,ExtremumSpectrum
1,104,FanoSiLiLineshape
1,104,FilterFit
1,104,FilteredSpectrum
1,104,Fluorescence
1,104,FluorescenceYield
1,104,FluorescenceYieldMean
1,104,FromSI
1,104,Gas
1,104,GasMixture
1,104,GasScatteringCrossSection
1,104,GaussianSumSpectrum
1,104,GridMountedWindow
1,104,ISpectrumData
1,104,ISpectrumTransformation
1,104,IXRayDetector
1,104,IXRayWindowProperties
1,104,IonizationCrossSection
1,104,IonizationDepthRatio
1,104,IterationAlgorithm
1,104,JumpRatio
1,104,LenardCoefficient
1,104,LinearSpectrumFit
1,104,MLLSQSignature
1,104,MassAbsorptionCoefficient
1,104,Material
1,104,MaterialFactory
1,104,MeanIonizationPotential
1,104,MeasuredCalibration
1,104,MicrocalCalibration
1,104,MicrocalSpectrumFitter
1,104,NISTMottScatteringAngle
1,104,NoisySpectrum
1,104,PeakROISearch
1,104,PeakStripping
1,104,ProportionalIonizationCrossSection
1,104,QuantificationOutline
1,104,QuantifyUsingSTEMinSEM
1,104,QuantifyUsingStandards
1,104,QuantifyUsingZetaFactors
1,104,ROISpectrum
1,104,ROISpectrumNaive
1,104,RandomizedScatter
1,104,RandomizedScatterFactory
1,104,RegionOfInterestSet
1,104,SDDCalibration
1,104,ScreenedRutherfordScatteringAngle
1,104,SiLiCalibration
1,104,SpectrumFitResult
1,104,SpectrumFitter8
1,104,SpectrumMath
1,104,SpectrumProperties
1,104,SpectrumSimulator
1,104,SpectrumSmoothing
1,104,SpectrumUtils
1,104,StandardBundle
1,104,StoppingPower
1,104,SurfaceIonization
1,104,ToSI
1,104,TransitionEnergy
1,104,TransitionProbabilities
1,104,VariableWidthFittingFilter
1,104,XRayTransition
1,104,XRayTransitionSet
1,104,XRayWindow
1,104,XRayWindow2
1,104,XRayWindow3
1,104,XRayWindowFactory
1,104,ZetaFactor
2,4,Armstrong1982Base
2,4,Armstrong1982Correction
2,4,Armstrong1982ParticleCorrection
2,4,Armstrong1982ParticleMC
3,2,QuantificationOptimizer
3,2,QuantificationOptimizer2
4,2,XPP1989Ext
4,2,XPP1991
5,1,BadgerFilmExport
6,1,Bremsstrahlung
7,1,BrowningEmpiricalCrossSection
8,1,CaveatBase
9,1,CITZAF
10,1,ConductiveCoating
11,1,CzyzewskiMottCrossSection
12,1,FittingFilter
13,1,ITransform
14,1,KRatioSet
15,1,LitReference
16,1,MACCache
17,1,MajorMinorTrace
18,1,MapImage
19,1,MuCal
20,1,MultiSpectrumMetrics
21,1,NISTXRayTransitionDB
22,1,Oxidizer
23,1,PandPDatabase
24,1,PAP1991
25,1,ParticleSignature
26,1,PhysicalConstants
27,1,QuantificationPlan
28,1,Riveros1993
29,1,SamplePreparation
30,1,SampleShape
31,1,StageCoordinate
32,1,StandardsDatabase2
33,1,STEMinSEMCorrection
34,1,Strategy
35,1,VectorSet
