source_class,source_file,dep_fqn,dep_simple,dep_category,rel_type,is_internal_target
AutoComplete,AutoComplete.java,java.awt.event.ActionEvent,ActionEvent,java_stdlib,import,False
AutoComplete,AutoComplete.java,java.awt.event.ActionListener,ActionListener,java_stdlib,import,False
AutoComplete,AutoComplete.java,java.awt.event.FocusAdapter,FocusAdapter,java_stdlib,import,False
AutoComplete,AutoComplete.java,java.awt.event.FocusEvent,FocusEvent,java_stdlib,import,False
AutoComplete,AutoComplete.java,java.awt.event.FocusListener,FocusListener,java_stdlib,import,False
AutoComplete,AutoComplete.java,java.awt.event.KeyAdapter,KeyAdapter,java_stdlib,import,False
AutoComplete,AutoComplete.java,java.awt.event.KeyEvent,KeyEvent,java_stdlib,import,False
AutoComplete,AutoComplete.java,java.awt.event.KeyListener,KeyListener,java_stdlib,import,False
AutoComplete,AutoComplete.java,java.beans.PropertyChangeEvent,PropertyChangeEvent,java_stdlib,import,False
AutoComplete,AutoComplete.java,java.beans.PropertyChangeListener,PropertyChangeListener,java_stdlib,import,False
AutoComplete,AutoComplete.java,javax.swing.ComboBoxEditor,ComboBoxEditor,javax_stdlib,import,False
AutoComplete,AutoComplete.java,javax.swing.ComboBoxModel,ComboBoxModel,javax_stdlib,import,False
AutoComplete,AutoComplete.java,javax.swing.JComboBox,JComboBox,javax_stdlib,import,False
AutoComplete,AutoComplete.java,javax.swing.text.AttributeSet,AttributeSet,javax_stdlib,import,False
AutoComplete,AutoComplete.java,javax.swing.text.BadLocationException,BadLocationException,javax_stdlib,import,False
AutoComplete,AutoComplete.java,javax.swing.text.JTextComponent,JTextComponent,javax_stdlib,import,False
AutoComplete,AutoComplete.java,javax.swing.text.PlainDocument,PlainDocument,javax_stdlib,import,False
AutoComplete,AutoComplete.java,PlainDocument,PlainDocument,unknown,extends,False
ComboBoxCellEditor,ComboBoxCellEditor.java,java.awt.event.ActionEvent,ActionEvent,java_stdlib,import,False
ComboBoxCellEditor,ComboBoxCellEditor.java,java.awt.event.ActionListener,ActionListener,java_stdlib,import,False
ComboBoxCellEditor,ComboBoxCellEditor.java,java.io.Serializable,Serializable,java_stdlib,import,False
ComboBoxCellEditor,ComboBoxCellEditor.java,javax.swing.AbstractCellEditor,AbstractCellEditor,javax_stdlib,import,False
ComboBoxCellEditor,ComboBoxCellEditor.java,javax.swing.JComboBox,JComboBox,javax_stdlib,import,False
ComboBoxCellEditor,ComboBoxCellEditor.java,javax.swing.JComponent,JComponent,javax_stdlib,import,False
ComboBoxCellEditor,ComboBoxCellEditor.java,javax.swing.table.TableCellEditor,TableCellEditor,javax_stdlib,import,False
ComboBoxCellEditor,ComboBoxCellEditor.java,AbstractCellEditor,AbstractCellEditor,unknown,extends,False
ComboBoxCellEditor,ComboBoxCellEditor.java,ActionListener,ActionListener,unknown,implements,False
