port_order,class_name,depth,in_degree,out_degree,instability,in_cycle
1,LinearLeastSquares,0,1,0,0.0,False
2,LevenbergMarquardt2,0,1,0,0.0,False
3,AdaptiveRungeKutta,0,1,0,0.0,False
4,UtilException,0,0,0,0.0,False
5,UncertainValueMC,0,0,0,0.0,False
6,UncertainValue2,0,0,0,0.0,False
7,UncertainValue,0,0,0,0.0,False
8,Translate2D,0,0,0,0.0,False
9,Transform3D,0,0,0,0.0,False
10,TextUtilities,0,0,0,0.0,False
11,StageRelocation,0,0,0,0.0,False
12,SpectrumPropertiesTableModel,0,0,0,0.0,False
13,Simplex,0,0,0,0.0,False
14,ProgressEvent,0,0,0,0.0,False
15,PrintUtilities,0,0,0,0.0,False
16,PoissonDeviate,0,0,0,0.0,False
17,Pair,0,0,0,0.0,False
18,MultiDHistogram,0,0,0,0.0,False
19,MemberSet,0,0,0,0.0,False
20,MCUncertaintyEngine,0,0,0,0.0,False
21,MCIntegrator,0,0,0,0.0,False
22,Math2,0,0,0,0.0,False
23,LinearRegression,0,0,0,0.0,False
24,LinearLeastSquaresMS,1,0,1,1.0,False
25,LevenbergMarquardtParameterized,0,0,0,0.0,False
26,LevenbergMarquardtConstrained,1,0,1,1.0,False
27,LazyEvaluate,0,0,0,0.0,False
28,Interval,0,0,0,0.0,False
29,Integrator,1,0,1,1.0,False
30,HtmlSelection,0,0,0,0.0,False
31,HTMLList,0,0,0,0.0,False
32,HTMLFormat,0,0,0,0.0,False
33,Histogram,0,0,0,0.0,False
34,HalfUpFormat,0,0,0,0.0,False
35,FindRoot,0,0,0,0.0,False
36,ExponentFormat,0,0,0,0.0,False
37,ElementTreePanel,0,0,0,0.0,False
38,ElementComboBoxModel,0,0,0,0.0,False
39,EachRowEditor,0,0,0,0.0,False
40,DescriptiveStatistics,0,0,0,0.0,False
41,CSVReader,0,0,0,0.0,False
42,Constraint,0,0,0,0.0,False
43,ComboBoxCellEditor,0,0,0,0.0,False
44,AutoComplete,0,0,0,0.0,False
