component,size,class_name
1,28,AdaptiveRungeKutta
1,28,Constraint
1,28,DescriptiveStatistics
1,28,ExponentFormat
1,28,FindRoot
1,28,HTMLFormat
1,28,HalfUpFormat
1,28,Integrator
1,28,LazyEvaluate
1,28,LevenbergMarquardt2
1,28,LevenbergMarquardtConstrained
1,28,LevenbergMarquardtParameterized
1,28,LinearLeastSquares
1,28,LinearLeastSquaresMS
1,28,LinearRegression
1,28,MCIntegrator
1,28,MCUncertaintyEngine
1,28,Math2
1,28,MultiDHistogram
1,28,PoissonDeviate
1,28,ProgressEvent
1,28,Simplex
1,28,StageRelocation
1,28,Translate2D
1,28,UncertainValue
1,28,UncertainValue2
1,28,UncertainValueMC
1,28,UtilException
2,1,AutoComplete
3,1,ComboBoxCellEditor
4,1,CSVReader
5,1,EachRowEditor
6,1,ElementComboBoxModel
7,1,ElementTreePanel
8,1,Histogram
9,1,HTMLList
10,1,HtmlSelection
11,1,Interval
12,1,MemberSet
13,1,Pair
14,1,PrintUtilities
15,1,SpectrumPropertiesTableModel
16,1,TextUtilities
17,1,Transform3D
